industry,stock1,stock2,correlation,coint_pvalue,price_ratio,ratio_mean,ratio_std,z_score
基建,600820,601800,0.6789944922162895,0.013876294801445262,0.7573221757322175,0.582689463168397,0.09602844497260107,1.818551915670892
基建,600820,601668,0.7471235678506538,0.008890613499466205,1.1960352422907488,1.062541291409633,0.0835314811356354,1.5981274253278601
地产,1979,600340,0.7768557040539679,0.05526810236636802,5.293103448275863,2.4220300447377903,1.9385109902526716,1.4810715120907558
基建,600820,601390,0.6992398928078458,0.003990887479047387,0.9926873857404022,0.8715954148068843,0.09409976468472374,1.2868466923294664
基建,601390,601800,0.8482103455131863,0.1388024683672352,0.7629009762900976,0.667932505591973,0.0796139411299241,1.1928623222300094
医药-消费,601398,601668,0.4191144523011532,0.018062546650664747,0.9537444933920705,0.8565479333192206,0.09370960055985436,1.0372102697286418
消费,600887,603288,0.8723764553592965,0.027957071461734644,0.6851702869401984,0.5378356632622912,0.16663506597945774,0.8841753853661884
医药-消费,600036,603288,0.8280391772860864,0.14628327170507355,0.6932153392330384,0.572676124571608,0.13648785649580825,0.8831497376847757
医药,538,600196,0.6892533658279983,0.015521739381416223,1.8521809369951534,1.5731999168992348,0.32377223728946025,0.8616582522067907
医药,300015,600196,0.7150455394469881,0.14196975702791376,0.6328756058158319,0.4967221549121401,0.16523172421256752,0.8240151917105999
医药-消费,538,2475,0.5998400290774668,0.10103174156044559,1.3428989751098097,2.5125873181535434,1.58075926399821,-0.7399534955659499
医药-消费,1979,300274,-0.6979540305036845,0.046122109941152734,0.14883645765998707,1.2225289949994314,1.257384433738672,-0.8539095192605151
医药-消费,1979,600309,-0.7784432348323576,0.00397915928221768,0.12332619175147295,0.30440686294792046,0.21062386855752513,-0.8597348080091461
医药-消费,2594,300274,0.9561111672253403,0.03841940820374819,3.149644473173885,5.266713199341963,2.461947099342779,-0.8599164160485954
医药-消费,858,300760,0.9511160887594057,0.03209914200641231,0.46952962348706734,0.6660099451260869,0.21097082315453716,-0.9313151397010798
医药-消费,600383,603288,0.5578048804486944,0.1048631480222656,0.11638508983641727,0.18705330443146995,0.07449111115233041,-0.9486798290676574
医药-消费,538,601857,-0.5269192435426504,0.0821632783841924,6.937972768532526,13.275789290209339,6.411855045927243,-0.9884528699229626
医药-消费,600048,600309,0.4997946380337816,0.10168370552216538,0.12707552222817353,0.2300489079305657,0.10223917922142164,-1.007181263450682
医药-消费,600196,600887,0.6955339203483698,0.06013009894803607,0.9690802348336596,1.2966042334242533,0.30879382241215764,-1.0606559290342161
医药-消费,600606,601899,-0.6664526467120816,0.016491740203468264,0.18914473684210525,1.0505938888846351,0.7681985434065675,-1.121388681918666
医药-消费,600048,600519,0.6433212106960337,0.04390608361711596,0.005678418419855916,0.011319125224206153,0.0049441142510448215,-1.140893296136554
医药-消费,600887,601166,0.7889182677943026,0.01938211127475337,1.6842452208305867,2.0412831540436347,0.2866975562372557,-1.2453469708600597
医药-消费,2,601857,-0.4051107081464388,0.08573123133479638,1.5824508320726174,4.896822207797509,2.2342790533447277,-1.4834187210246903
医药-消费,600383,601857,-0.704985599829308,0.003914396900785255,0.6565809379727685,2.3626189427875994,1.1100609409597375,-1.5368867977102438
医药-消费,2,600012,-0.5227992384176454,0.016479509795748016,1.0038387715930903,4.641251747348385,2.0423494532992694,-1.7809944179137975
医药-消费,2,600028,-0.5613989936467993,0.006132279224281941,2.0,6.1339865735010575,2.280284824249029,-1.8129255299773843
医药-消费,2008,601288,-0.43141082745397724,0.08766797180486696,6.2370820668693,15.066733744490282,4.243144973152712,-2.0809215177629046
