industry,stock1,stock2,correlation,coint_pvalue,price_ratio,ratio_mean,ratio_std,z_score
医药-消费,600028,600383,-0.6838191336049962,0.015301377113153273,1.2050691244239633,0.4154276838033162,0.21164141886072532,3.7310345246753696
医药-消费,600012,600606,-0.557409965441056,0.05082448498863113,4.530434782608696,1.37755933996921,0.9364639010534382,3.3667880193702957
医药-消费,2230,600340,-0.6509854368729734,0.03577827727401808,26.597701149425287,8.83916301677531,8.523087047623216,2.0835805188217806
基建,600820,601800,0.6789944922162895,0.013876294801445262,0.7573221757322175,0.582689463168397,0.09602844497260107,1.818551915670892
医药-消费,300274,600340,-0.8997317077921926,0.07095231388702114,35.5632183908046,12.875296753019772,13.92708884836283,1.6290498240378397
基建,600820,601668,0.7471235678506538,0.008890613499466205,1.1960352422907488,1.062541291409633,0.0835314811356354,1.5981274253278601
医药-消费,2594,600340,-0.9202785240224106,0.05174289379937011,112.01149425287356,42.83389404311511,44.876570609070434,1.5415081694271955
地产,1979,600340,0.7768557040539679,0.05526810236636802,5.293103448275863,2.4220300447377903,1.9385109902526716,1.4810715120907558
医药-消费,300760,600036,0.851800836472784,0.14561394445599546,10.962862669245647,7.205161541142083,2.732859376395072,1.3750071300998905
基建,600820,601390,0.6992398928078458,0.003990887479047387,0.9926873857404022,0.8715954148068843,0.09409976468472374,1.2868466923294664
消费,600887,603288,0.8723764553592965,0.027957071461734644,0.6851702869401984,0.5378356632622912,0.16663506597945774,0.8841753853661884
医药,538,600196,0.6892533658279983,0.015521739381416223,1.8521809369951534,1.5731999168992348,0.32377223728946025,0.8616582522067907
医药-消费,538,601857,-0.5269192435426504,0.0821632783841924,6.937972768532526,13.275789290209339,6.411855045927243,-0.9884528699229626
医药-消费,568,601899,0.9415405406879815,0.06731080788757901,14.199013157894736,19.69071656807845,5.031837386785197,-1.0913912728193949
医药-消费,600048,600519,0.6433212106960337,0.04390608361711596,0.005678418419855916,0.011319125224206153,0.0049441142510448215,-1.140893296136554
医药-消费,1979,2230,-0.586212517580776,0.03527098944279924,0.19900605012964565,0.3756085160043574,0.1432502292670036,-1.2328250138123205
医药-消费,2,601857,-0.4051107081464388,0.08573123133479638,1.5824508320726174,4.896822207797509,2.2342790533447277,-1.4834187210246903
医药-消费,601390,601857,0.8291151818549694,0.021394757996697066,0.8275340393343418,1.2380843659757308,0.24650799959277642,-1.6654645176611123
